#name	chrom	strand	exonStarts	exonEnds	score
NM_166811.2	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1051258,	1037422,1037590,1037740,1038437,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_001169361.2	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1050693,1051342,	1037422,1037590,1037740,1038434,1040078,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1050759,1051378,	0
NM_166810.5	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1051342,	1037422,1037590,1037740,1038437,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_166812.3	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038434,1040078,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001014696.2	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038458,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_166813.3	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038437,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272154.1	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1040078,1043521,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272155.1	chr4	-	1035287,1037475,1037645,1038358,1040012,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1040078,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_079896.4	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038437,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272153.1	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001169360.2	chr4	-	1037154,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1050693,	1037422,1037590,1037740,1038437,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_001169362.2	chr4	-	1037154,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1051342,	1037422,1037590,1037740,1038437,1040078,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_001038713.4	chr4	+	254996,258311,258527,259277,259446,261229,261573,261776,	257404,258466,258672,259370,259604,261511,261724,262519,	0
NM_143657.5	chr4	+	254996,258311,258527,259277,259446,261229,261573,261776,262382,	257404,258466,258672,259370,259604,261511,261724,262062,262667,	0
NM_001272121.2	chr4	+	254996,258311,258527,259277,259446,261229,261573,261776,263205,264351,264527,264743,	257404,258466,258672,259370,259604,261511,261724,262062,263340,264429,264670,265075,	0
NM_001258487.3	chr4	+	254996,258311,258527,259277,259446,261229,261573,261776,263205,264351,264485,264743,	257404,258466,258672,259370,259604,261511,261724,262062,263340,264429,264670,265574,	0
NM_205874.3	chr4	-	375639,377093,377757,377884,378395,378715,382122,386906,390424,393262,	376631,377669,377825,378202,378561,378900,382408,386984,391544,393410,	0
NM_166758.4	chr4	-	375639,377093,377757,377884,378395,378715,382122,386906,390424,393262,	376631,377669,377825,378202,378531,378900,382408,386984,391544,393410,	0
NM_001258492.3	chr4	-	375639,377093,377757,377884,378395,378715,382122,386906,390424,393861,	376631,377669,377825,378202,378561,378900,382408,386984,391544,395605,	0
NM_001272130.1	chr4	+	501809,503850,515581,521472,524330,524903,529692,531155,531435,532782,532982,536965,537174,	501857,504138,515631,523104,524512,526520,531093,531379,531783,532926,535880,537075,538373,	0
NM_079884.5	chr4	+	501809,503850,515581,521472,524330,524903,529692,531155,531435,532782,532982,537174,538537,538658,	501857,504138,515631,523104,524512,526520,531093,531379,531783,532926,535880,537760,538604,539792,	0
NM_001258496.3	chr4	+	501809,503850,515581,521472,524330,524903,529692,531158,531435,532785,532982,537174,538537,538658,	501857,504138,515631,523104,524512,526520,531093,531379,531783,532926,535880,537760,538604,540874,	0
NM_001014691.3	chr4	-	649040,652304,652645,652900,653869,654504,655060,656215,657901,660428,	651030,652578,652842,653051,654048,654798,655435,657684,658508,660608,	0
NM_166780.2	chr4	-	649970,652304,652645,652900,653869,654504,655060,656215,657901,659559,	651030,652584,652842,653051,654048,654798,655435,657684,658508,659983,	0
NM_166785.2	chr4	-	649970,652304,652645,652900,653869,654504,655060,656215,657901,659877,	651030,652584,652842,653051,654048,654798,655435,657684,658508,659983,	0
NM_166784.2	chr4	-	649970,652304,652645,652900,653869,654504,655060,656215,657901,659920,	651030,652584,652842,653051,654048,654798,655435,657684,658508,659983,	0
NM_166781.2	chr4	-	649970,652304,652645,652900,653869,654504,655060,656215,657901,660428,	651030,652584,652842,653051,654048,654798,655435,657684,658508,660608,	0
NM_143679.4	chr4	-	778515,783173,783301,786191,787080,787451,	781669,783245,783937,787026,787209,787614,	0
NM_166791.2	chr4	-	778515,783173,783301,786191,787080,788894,	781669,783245,783937,787026,787209,788978,	0
NM_001144385.2	chr4	-	915296,915616,915836,916120,916866,917274,918323,918535,918902,925082,925574,925767,926010,929821,930079,930281,	915553,915718,916059,916267,917090,917743,918481,918776,921199,925138,925686,925948,926661,930023,930131,930715,	0
NM_001103382.2	chr4	-	915296,915616,915836,916120,916866,917274,918323,918535,918902,925082,925574,925767,926010,927392,929821,930079,930511,	915553,915718,916059,916267,917090,917743,918481,918776,921199,925138,925686,925948,926661,928151,930023,930131,930715,	0
NM_079901.4	chr4	-	915296,915616,915836,916120,916866,917274,918323,918535,918902,925082,925574,925767,926010,929821,930079,930511,	915553,915718,916059,916267,917090,917743,918481,918776,921199,925138,925686,925948,926661,930023,930131,930715,	0
NM_079891.3	chr4	-	1172468,1173083,1173805,1174158,1174981,1181047,1181367,	1173030,1173203,1174097,1174928,1175123,1181281,1181628,	0
NM_166827.2	chr4	-	1172468,1173083,1173805,1174158,1174981,1181047,1181589,	1173030,1173203,1174097,1174928,1175123,1181281,1181628,	0
NM_001110622.3	chr4	+	878,1143,1767,4352,4591,4874,	1079,1410,3851,4527,4824,5039,	0
NM_001258471.2	chr4	-	32477,33190,35873,36515,42913,	33125,33373,36457,41285,43778,	0
NM_079877.4	chr4	-	32811,33190,35873,36515,42913,	33125,33373,36457,41285,43778,	0
NR_123741.1	chr4	+	42773,43230,	43157,43374,	0
NR_123742.1	chr4	+	44773,45486,	45417,46074,	0
NM_079878.5	chr4	-	47709,50515,50744,51313,52016,55830,	50462,50680,51257,51954,52384,56331,	0
NM_001258472.2	chr4	-	47709,50515,50744,51313,52016,55830,	50462,50613,51257,51954,52384,56331,	0
NM_001258473.1	chr4	-	47709,50515,50744,51313,52016,56290,	50462,50680,51257,51954,52384,57041,	0
NR_073612.1	chr4	+	56496,57239,59975,60569,	56549,57411,60415,60974,	0
NR_073611.1	chr4	+	56496,57239,59975,62972,	56549,57411,60415,63124,	0
NM_001258475.2	chr4	-	65224,65999,66104,66839,	65521,66049,66738,67207,	0
NR_073613.1	chr4	-	65576,	65645,	0
NM_079879.4	chr4	-	66196,66839,	66738,67207,	0
NM_166714.4	chr4	-	66196,66839,67047,	66738,66991,67207,	0
NM_001038709.3	chr4	+	69325,72320,72403,72816,75067,82637,85711,85852,87016,94422,97821,99405,	69981,72335,72594,72862,75165,82746,85799,85933,87166,94615,97975,101419,	0
NM_079880.6	chr4	+	69325,72320,72403,72816,75067,82637,85711,85852,87016,94422,94836,99405,107402,	69849,72335,72594,72862,75165,82746,85799,85933,87166,94615,95002,99475,108694,	0
NM_166723.3	chr4	+	69325,72320,72403,72816,75067,82637,85711,85852,87016,94422,94836,99405,107402,108426,	69981,72335,72594,72862,75165,82746,85799,85933,87166,94615,95002,99475,108372,108694,	0
