#name	chrom	strand	exonStarts	exonEnds	score
NM_166811.2	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1051258,	1037422,1037590,1037740,1038437,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_001169361.2	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1050693,1051342,	1037422,1037590,1037740,1038434,1040078,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1050759,1051378,	0
NM_166810.5	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1051342,	1037422,1037590,1037740,1038437,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1051378,	0
NM_166812.3	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038434,1040078,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001014696.2	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038458,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_166813.3	chr4	-	1035287,1037475,1037645,1038358,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038437,1043524,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272154.1	chr4	-	1035287,1037475,1037645,1038358,1040012,1043467,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1040078,1043521,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272155.1	chr4	-	1035287,1037475,1037645,1038358,1040012,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1040078,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_079896.4	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037590,1037740,1038437,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
NM_001272153.1	chr4	-	1035287,1037475,1037645,1038358,1045155,1047263,1047452,1047634,1047822,1048503,1049186,1050297,1050454,1053497,	1037422,1037569,1037740,1038434,1045248,1047390,1047575,1047729,1048148,1048558,1049246,1050392,1050609,1053703,	0
